bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
T van der Gugten,T20,45,874,1096,55,145.7,7.52,19.93,15.89,14.28
Mohammad Rafique,ODI,57,2936,2178,55,489.3,4.45,39.6,53.38,17.12
C Rububagumya,T20,54,932,1113,55,155.3,7.17,20.24,16.95,14.67
Ghulam Ahmadi,T20,46,1033,1083,55,172.2,6.29,19.69,18.78,16.64
MP Stoinis,T20,55,936,1313,55,156.0,8.42,23.87,17.02,11.2
S Badree,T20,48,1071,1131,55,178.5,6.34,20.56,19.47,16.06
AL Phehlukwayo,T20,39,793,1134,54,132.2,8.58,21.0,14.69,12.25
GJ Maxwell,T20,85,1131,1534,54,188.5,8.14,28.41,20.94,10.03
Bilal Hassun,T20,35,734,838,54,122.3,6.85,15.52,13.59,18.61
Yasir Ali,T20,35,664,623,54,110.7,5.63,11.54,12.3,26.42
MJ Henry,T20,38,844,1185,54,140.7,8.42,21.94,15.63,11.98
SS Cottrell,T20,41,925,1215,54,154.2,7.88,22.5,17.13,12.42
AC Agar,T20,48,1030,1131,54,171.7,6.59,20.94,19.07,15.3
Muhammad Jawadullah,T20,33,769,958,54,128.2,7.47,17.74,14.24,15.73
DR Smith,ODI,60,2257,1888,53,376.2,5.02,35.62,42.58,15.21
Qamar Mushtaque,T20,33,650,719,53,108.3,6.64,13.57,12.26,21.1
FH Edwards,ODI,40,1850,1525,53,308.3,4.95,28.77,34.91,16.77
RP Burl,T20,64,1003,1207,53,167.2,7.22,22.77,18.92,13.26
Mohammad Hafeez,Test,43,3720,1745,53,620.0,2.81,32.92,70.19,29.39
Syed Rasel,ODI,40,2095,1634,53,349.2,4.68,30.83,39.53,17.32
AJ Tye,T20,31,718,1010,52,119.7,8.44,19.42,13.81,13.21
OC McCoy,T20,41,861,1225,52,143.5,8.54,23.56,16.56,11.04
Washington Sundar,T20,52,1000,1135,52,166.7,6.81,21.83,19.23,14.35
MR Marsh,Test,45,3542,2130,52,590.3,3.61,40.96,68.12,21.44
NM Coulter-Nile,ODI,31,1670,1538,52,278.3,5.53,29.58,32.12,14.68
Janak Prakash,T20,39,878,1214,52,146.3,8.3,23.35,16.88,11.42
E Sebareme,T20,44,781,768,52,130.2,5.9,14.77,15.02,21.26
LA Burns,T20,32,722,656,52,120.3,5.45,12.62,13.88,25.1
MG Erasmus,ODI,49,1763,1343,52,293.8,4.57,25.83,33.9,18.99
SS Cottrell,ODI,33,1648,1598,52,274.7,5.82,30.73,31.69,13.63
KM Jarvis,ODI,41,2047,1752,52,341.2,5.13,33.69,39.37,15.08
Zeeshan Maqsood,T20,57,1011,1096,52,168.5,6.5,21.08,19.44,15.31
A Shukla,T20,53,1072,1378,52,178.7,7.71,26.5,20.62,11.08
Usman Najeeb,T20,35,808,997,51,134.7,7.4,19.55,15.84,14.51
K Irakoze,T20,53,960,1102,51,160.0,6.89,21.61,18.82,14.26
Abrar Ahmed,T20,36,799,901,51,133.2,6.76,17.67,15.67,16.84
R Trumpelmann,T20,45,952,1263,51,158.7,7.96,24.76,18.67,11.26
T Lungameni,ODI,34,1611,1218,51,268.5,4.54,23.88,31.59,19.72
DJ Willey,T20,42,885,1202,51,147.5,8.15,23.57,17.35,11.47
DS Airee,ODI,57,2083,1412,51,347.2,4.07,27.69,40.84,20.72
DBL Powell,ODI,39,2136,1677,51,356.0,4.71,32.88,41.88,16.69
DR Tuffey,ODI,38,1969,1619,51,328.2,4.93,31.75,38.61,16.07
Khizar Hayat,T20,50,977,1058,51,162.8,6.5,20.75,19.16,15.43
MM Ali,T20,70,1001,1381,51,166.8,8.28,27.08,19.63,10.08
Dawood Ahmadzai,T20,39,857,894,51,142.8,6.26,17.53,16.8,17.94
Shoriful Islam,ODI,34,1613,1462,51,268.8,5.44,28.67,31.63,15.1
Taranjeet Singh,T20,40,819,917,51,136.5,6.72,17.98,16.06,16.69
GP Swann,T20,37,803,863,51,133.8,6.45,16.92,15.75,18.01
SR Clark,ODI,36,1756,1411,51,292.7,4.82,27.67,34.43,17.41
D Heyliger,T20,54,1023,1256,51,170.5,7.37,24.63,20.06,12.18
SP Narine,T20,46,1056,1057,51,176.0,6.01,20.73,20.71,16.51
Aayan Afzal Khan,ODI,38,1990,1381,50,331.7,4.16,27.62,39.8,20.21
GJ Delany,T20,62,1056,1333,50,176.0,7.57,26.66,21.12,11.14
LV van Beek,ODI,32,1759,1619,50,293.2,5.52,32.38,35.18,13.99
CH Morris,ODI,39,1926,1783,50,321.0,5.55,35.66,38.52,13.34
DJG Sammy,T20,58,919,1118,50,153.2,7.3,22.36,18.38,13.16
H Fennell,T20,30,664,656,50,110.7,5.93,13.12,13.28,23.07
WP Masakadza,T20,66,1209,1465,50,201.5,7.27,29.3,24.18,10.87
