batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
Arshdeep Singh,T20,26,87,88,9,3,98.86,3.35,10.67
UT Yadav,ODI,21,79,136,8,1,58.09,3.76,5.66
WB Rankin,ODI,20,78,183,3,1,42.62,3.9,3.74
S Lamichhane,T20,21,78,87,3,2,89.66,3.71,9.47
BM Scholtz,T20,21,77,84,7,0,91.67,3.67,9.65
Syed Rasel,ODI,22,76,168,7,0,45.24,3.45,3.96
MM Patel,ODI,24,74,114,7,1,64.91,3.08,6.33
CA Young,T20,22,73,101,5,2,72.28,3.32,7.3
I Sharma,ODI,26,72,209,6,0,34.45,2.77,2.5
A Zampa,T20,26,70,91,6,0,76.92,2.69,7.64
Junaid Khan,ODI,23,68,134,4,1,50.75,2.96,4.54
AM Fernando,Test,20,58,222,10,1,26.13,2.9,1.6
M Mooketsi,T20,20,57,113,2,0,50.44,2.85,4.38
A Shukla,T20,21,54,97,3,2,55.67,2.57,5.08
Mohammad Irfan,ODI,30,48,152,5,2,31.58,1.6,1.98
B Muzarabani,T20,22,48,71,6,1,67.61,2.18,6.43
Abdul Majid Abbasi,T20,20,47,91,1,1,51.65,2.35,4.46
LN Rajbanshi,ODI,23,42,166,3,0,25.3,1.83,1.11
CB Mpofu,ODI,30,40,170,0,0,23.53,1.33,0.76
Bilal Khan,ODI,20,30,75,1,1,40.0,1.5,2.85
