batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
N Davin,T20,39,1007,752,109,34,133.91,25.82,23.79
ZE Green,ODI,44,1007,1351,105,12,74.54,22.89,14.68
RL Chase,ODI,48,1004,1303,73,14,77.05,20.92,14.27
Kushal Malla,T20,53,1001,793,56,68,126.23,18.89,22.69
J Baker,T20,27,1001,799,90,51,125.28,37.07,25.7
V Saini,T20,43,1000,819,89,23,122.1,23.26,20.94
H Klaasen,T20,53,1000,730,72,52,136.99,18.87,23.29
JP Inglis,T20,42,1000,650,104,39,153.85,23.81,26.02
KH Prajapati,ODI,35,996,1351,100,13,73.72,28.46,15.67
RG Mukasa,T20,46,993,827,112,31,120.07,21.59,21.11
O Tuyisenge,T20,68,988,1022,91,27,96.67,14.53,16.34
CL White,T20,44,988,755,71,44,130.86,22.45,22.78
JN Loftie-Eaton,ODI,44,986,1340,77,20,73.58,22.41,14.52
B Sharki,ODI,33,985,1477,95,7,66.69,29.85,14.68
C Kieswetter,ODI,38,985,1130,98,30,87.17,25.92,17.73
RW Chakabva,Test,20,984,2512,91,7,39.17,49.2,15.16
Tanzid Hasan,T20,40,982,795,90,45,123.52,24.55,22.61
HAM Shah,T20,30,982,845,92,27,116.21,32.73,22.37
JN Frylinck,ODI,45,978,1370,76,15,71.39,21.73,13.81
PD Salt,ODI,30,976,861,133,20,113.36,32.53,22.12
ADS Fletcher,T20,56,973,913,65,53,106.57,17.38,19.22
DS Smith,ODI,39,973,1379,99,9,70.56,24.95,14.31
K Motlanka,T20,44,969,990,98,19,97.88,22.02,17.6
O Manishimwe,T20,61,968,1112,91,24,87.05,15.87,15.24
Fawad Alam,ODI,35,966,1321,60,6,73.13,27.6,14.46
T Stubbs,T20,42,966,744,75,37,129.84,23.0,22.39
Kamran Akmal,T20,51,964,829,97,31,116.28,18.9,19.87
C Campher,ODI,30,963,1212,97,13,79.46,32.1,17.02
Muhammad Usman,T20,47,959,807,72,41,118.84,20.4,20.71
Nazmul Hossain Shanto,T20,44,959,913,88,19,105.04,21.8,18.28
JN Malan,ODI,22,958,1177,97,16,81.39,43.55,19.71
M Levitt,T20,29,957,690,83,52,138.7,33.0,26.42
MG Bracewell,ODI,37,956,905,77,43,105.64,25.84,20.38
Pargat Singh,ODI,26,956,1271,107,16,75.22,36.77,17.73
CJA Amini,ODI,45,952,1545,78,4,61.62,21.16,11.87
Usman Khan,T20,60,951,818,89,22,116.26,15.85,18.62
Ayan Khan,ODI,35,948,1294,87,15,73.26,27.09,15.22
Shaiman Anwar,ODI,30,947,1162,95,16,81.5,31.57,17.28
M Morkel,Test,71,944,1862,143,5,50.7,13.3,9.88
AU Rashid,ODI,81,941,1041,92,14,90.39,11.62,14.2
Iftikhar Ahmed,T20,51,941,746,66,42,126.14,18.45,21.16
J Liyanage,ODI,28,940,1134,71,25,82.89,33.57,18.03
JM How,ODI,33,939,1449,105,7,64.8,28.45,14.24
Sabbir Rahman,T20,43,939,816,88,29,115.07,21.84,20.04
G Singh,ODI,31,938,1155,86,17,81.21,30.26,16.91
Imad Wasim,ODI,39,937,860,87,19,108.95,24.03,19.15
RV Uthappa,ODI,41,934,1070,108,19,87.29,22.78,16.55
KOA Powell,ODI,41,934,1191,110,13,78.42,22.78,15.16
RAS Lakmal,Test,68,934,1940,114,12,48.14,13.74,9.66
MG Johnson,ODI,87,934,1002,80,22,93.21,10.74,14.65
Z Khan,Test,57,930,1817,109,22,51.18,16.32,11.04
CS MacLeod,T20,48,930,861,83,15,108.01,19.38,17.82
RR Hendricks,ODI,35,930,1211,98,9,76.8,26.57,15.32
LS Livingstone,T20,46,926,659,51,59,140.52,20.13,23.99
